patriot_sku,name,price_day,competitor,competitor_price,diff_abs,diff_pct,alert_flag
SKU0057,Ditch Witch HT25 ...,345.0,United Rentals,,,,False
SKU0057,Ditch Witch HT25 ...,345.0,Farmington Rental,,,,False
SKU0057,Ditch Witch HT25 ...,345.0,Mike's Rentals,,,,False
SKU0057,Ditch Witch HT25 ...,345.0,Fabick Rents,,,,False
SKU0058,Doolittle 12' SA ...,80.0,Sunbelt Rentals,,,,False
SKU0058,Doolittle 12' SA ...,80.0,United Rentals,,,,False
SKU0058,Doolittle 12' SA ...,80.0,Farmington Rental,,,,False
SKU0058,Doolittle 12' SA ...,80.0,Mike's Rentals,,,,False
SKU0058,Doolittle 12' SA ...,80.0,Fabick Rents,,,,False
SKU0059,Drywall and Sheet...,20.0,Sunbelt Rentals,,,,False
SKU0059,Drywall and Sheet...,20.0,United Rentals,,,,False
SKU0059,Drywall and Sheet...,20.0,Farmington Rental,,,,False
SKU0059,Drywall and Sheet...,20.0,Mike's Rentals,,,,False
SKU0059,Drywall and Sheet...,20.0,Fabick Rents,,,,False
SKU0060,Drywall Sander an...,50.0,Sunbelt Rentals,,,,False
SKU0060,Drywall Sander an...,50.0,United Rentals,,,,False
SKU0060,Drywall Sander an...,50.0,Farmington Rental,,,,False
SKU0060,Drywall Sander an...,50.0,Mike's Rentals,,,,False
SKU0060,Drywall Sander an...,50.0,Fabick Rents,,,,False
SKU0061,Drywall Sheetrock...,35.0,Sunbelt Rentals,,,,False
SKU0061,Drywall Sheetrock...,35.0,United Rentals,,,,False
SKU0061,Drywall Sheetrock...,35.0,Farmington Rental,,,,False
SKU0061,Drywall Sheetrock...,35.0,Mike's Rentals,,,,False
SKU0061,Drywall Sheetrock...,35.0,Fabick Rents,,,,False
SKU0062,Drywall Sheetrock...,35.0,Sunbelt Rentals,,,,False
SKU0062,Drywall Sheetrock...,35.0,United Rentals,,,,False
SKU0062,Drywall Sheetrock...,35.0,Farmington Rental,,,,False
SKU0062,Drywall Sheetrock...,35.0,Mike's Rentals,,,,False
SKU0062,Drywall Sheetrock...,35.0,Fabick Rents,,,,False
SKU0063,EDCO Tile Scraper,80.0,Sunbelt Rentals,,,,False
SKU0063,EDCO Tile Scraper,80.0,United Rentals,,,,False
SKU0063,EDCO Tile Scraper,80.0,Farmington Rental,,,,False
